Year,Funding Type,Money Raised Currency (in USD),Pre-Money Valuation Currency (in USD),Post-Money Valuation Currency (in USD)
1997,Pre-Seed,1800000.0,,
1997,Seed,1712500.0,35000000.0,38500000.0
1997,Series A,5601912.216216216,,
1998,Pre-Seed,100000.0,,
1998,Seed,1692466.0,6000000.0,7200000.0
1998,Series A,5209924.393442623,11866666.666666666,15733333.333333334
1999,Pre-Seed,633333.3333333334,2000000.0,3000000.0
1999,Seed,1929928.2758620689,50000.0,200000.0
1999,Series A,10862627.326086957,24899999.833333332,33374999.833333332
2000,Pre-Seed,60500.0,,
2000,Seed,1673555.1929824562,6500000.0,8150000.0
2000,Series A,10834269.791862285,25284705.88235294,34608235.294117644
2001,Pre-Seed,,,
2001,Seed,1529506.0333333334,,
2001,Series A,11932814.562264152,33805000.0,50655000.0
2002,Pre-Seed,120000.0,,
2002,Seed,1453348.5862068965,525000.0,5527500.0
2002,Series A,6985566.686900958,30636896.363636363,36742831.45454545
2003,Pre-Seed,704326.5,,
2003,Seed,1275133.3333333333,,
2003,Series A,6445886.271929825,6931818.181818182,17268181.818181816
2004,Pre-Seed,157500.0,,
2004,Seed,1280277.7,1000000.0,1140000.0
2004,Series A,6730341.142857143,10980000.0,38313333.333333336
2005,Pre-Seed,1000000.0,,
2005,Seed,1058860.3902439023,4197750.0,5116500.0
2005,Series A,7542630.632582323,21612727.272727273,35315000.0
2006,Pre-Seed,213347.22222222222,,
2006,Seed,1026433.1013513514,4125000.0,6075000.0
2006,Series A,6339088.02507837,19320000.0,24970000.0
2007,Pre-Seed,199499.92307692306,2367147.0,3156196.0
2007,Seed,720120.1992031873,5734428.571428572,6992428.571428572
2007,Series A,6833039.571856287,13100588.4,18630781.25
2008,Pre-Seed,377086.45454545453,,
2008,Seed,708417.0220994476,7592494.25,11076646.0
2008,Series A,6278184.276035132,22890000.0,28722400.0
2009,Pre-Seed,127428.3125,550000.0,125000.0
2009,Seed,522378.7351598173,6346875.0,7378750.0
2009,Series A,6128606.643356644,45975828.571428575,63725615.333333336
2010,Pre-Seed,247535.375,2500000.0,4000000.0
2010,Seed,618186.3910984849,3591687.85,4530359.8
2010,Series A,5220090.443165468,10852727.272727273,14807272.727272727
2011,Pre-Seed,226696.1971830986,863715.3333333334,1073253.5
2011,Seed,675360.152631579,4098140.0,5128130.916666667
2011,Series A,6296848.954489545,35012792.27272727,40271038.54545455
2012,Pre-Seed,169807.9344262295,8266666.666666667,8791666.666666666
2012,Seed,690088.978746594,3673323.059322034,4247048.7155172415
2012,Series A,6045645.133333334,58702857.14285714,69873571.42857143
2013,Pre-Seed,263148.12083333335,2362000.0,2626065.0
2013,Seed,749010.1258851298,3213876.958974359,3609140.994623656
2013,Series A,7709579.548928238,252487664.7352941,272900374.5882353
2014,Pre-Seed,262339.0230769231,5151927.833333333,6029044.666666667
2014,Seed,818553.9668813248,4393733.387978142,5321209.0
2014,Series A,7852131.570621469,56126345.58695652,75119369.93023255
2015,Pre-Seed,280367.1348973607,5444718.233333333,5942769.9655172415
2015,Seed,1000641.4875586855,5115239.164490862,6017495.169139466
2015,Series A,9434291.439005438,72643167.89473684,80040997.63768116
2016,Pre-Seed,357683.127388535,3450328.5423728814,3908751.5263157897
2016,Seed,1266754.984057971,5752884.413407821,6821553.792763158
2016,Series A,9783992.18369028,50201931.03448276,66743812.09259259
2017,Pre-Seed,428797.31195335276,3881037.88172043,3396632.3636363638
2017,Seed,1473301.3474552175,6544664.07748184,7967645.143258427
2017,Series A,10140237.724497395,30598144.115942027,43052345.847457625
2018,Pre-Seed,390336.99917965545,4172967.6581632653,4509937.751351351
2018,Seed,1614123.0444619837,10408972.549528303,12218513.344117647
2018,Series A,13160455.794221282,75744855.82242991,107506989.3253012
2019,Pre-Seed,448310.9150831354,5256061.222222222,5699931.945848376
2019,Seed,2023562.222030981,11047464.002840908,12982874.679867987
2019,Series A,14131888.357634112,69664894.85454546,89755670.88541667
2020,Pre-Seed,492540.5518239722,5715283.916913946,6316194.525641026
2020,Seed,2182219.3941504178,11670725.466666667,12726326.21352313
2020,Series A,15852938.978308026,124417024.45132743,163946531.34408602
2021,Pre-Seed,603284.8139088729,7516369.081885856,7847168.570637119
2021,Seed,3032052.6973809525,14659975.665036675,15802604.315634219
2021,Series A,24048258.2138756,246207119.07692307,324793404.21710527
2022,Pre-Seed,733572.1295439524,7840291.596721311,8191267.036290322
2022,Seed,3903571.557767807,37745879.02253521,46655521.76428571
2022,Series A,20775854.896348644,200959608.6956522,241268363.02362204
2023,Pre-Seed,1347662.4825581396,7347222.677419355,9833556.12
2023,Seed,3547859.5009380863,21619444.444444444,23031125.0
2023,Series A,20337775.744769875,54620630.78947368,84328571.42857143
